,9,10,11,12,13,14,15,16
0,9064,24655,42641,87718,165735,304582,407362,420485
1,8874,24609,42644,87824,166486,307018,407916,417287
2,9737,19667,46412,88263,167917,307463,406291,419685
3,8980,24398,42429,88163,165869,308077,408885,414226
4,9155,24592,42630,88280,167333,308641,406452,419405
5,9868,19296,46330,88844,166949,304714,407343,417029
6,9757,19212,46106,88959,167406,306995,406324,416726
7,10041,19389,46225,88468,166141,305095,407304,415339
8,9048,24677,42719,88001,166050,306405,406500,420222
9,9739,19309,46447,88466,167705,306976,406788,421389
10,9825,19176,46234,88465,167706,306456,410133,418853
11,9187,24580,42863,87869,166408,306732,409281,419527
12,9889,19135,46564,88425,167797,305176,407857,419124
13,9913,19272,46438,88371,167711,307896,409334,416359
14,9237,24352,42426,87800,166826,307078,410889,417720
15,8913,24509,42551,88142,167196,307225,406892,419375
