,9,10,11,12,13,14,15,16
0,148,286,549,1078,1757,3280,5232,11007
1,128,218,568,926,1524,3314,5564,10668
2,152,226,583,989,1809,3540,5889,10571
3,130,259,460,1057,1723,3320,6259,11679
4,128,265,552,981,1591,3593,5180,10848
5,145,199,445,1068,1768,3273,6003,12199
6,129,273,496,933,1544,3551,5389,11213
7,102,273,388,1074,1678,3431,5498,10707
8,138,263,562,1172,1966,3256,5829,9679
9,127,281,494,996,1755,2657,5831,12158
10,110,243,533,982,1725,3355,5562,10897
11,84,217,474,1004,1867,3535,5581,10594
12,106,266,486,807,2056,3371,5830,10838
13,110,263,483,1075,1749,3187,5418,10730
14,127,271,528,1114,1553,3555,5752,10525
15,108,294,549,980,1763,3515,5282,10735
16,114,270,528,874,1932,3111,5442,11074
17,101,280,445,985,1805,3033,6319,11109
18,131,233,438,1015,1673,2919,5686,10304
19,112,285,515,991,1790,3315,5329,11147
20,102,270,577,954,1775,3559,5706,9691
21,149,282,555,880,1958,3286,5373,10691
22,106,271,448,962,1649,3531,6059,9965
23,123,246,448,1046,1867,3514,5789,9890
24,107,227,438,950,1869,2911,5070,11993
25,145,255,508,1011,1763,3645,5792,11485
26,110,242,442,996,1690,3092,5390,9911
27,112,237,431,964,1845,3016,5479,9896
28,104,230,563,1018,1951,3563,5366,11147
29,96,248,520,991,1634,3555,5711,11371
30,136,257,487,886,1661,3059,5715,10939
31,139,289,606,983,1833,3222,5831,10356
