     128	     414	       0
     256	    1118	       0
     512	    2417	       0
    1024	    4845	       0
    2048	    9497	       0
    4096	   18530	       0
    8192	   26392	       0
   16384	   51956	       0
   32768	   97677	       0
   65536	  120352	       0
  131072	  119711	       0
  262144	  122776	       0
  524288	  112686	       0
 1048576	  109234	       0
 2097152	  101886	       0
 4194304	   98179	       0
 8388608	  109702	       0
16777216	  116252	       0
     128	     415	       0
     256	    1118	       0
     512	    2423	       0
    1024	    4845	       0
    2048	    9591	       0
    4096	   18521	       0
    8192	   26400	       0
   16384	   51854	       0
   32768	   97470	       0
   65536	  120675	       0
  131072	  118206	       0
  262144	  120390	       0
  524288	  115230	       0
 1048576	  109515	       0
 2097152	  110380	       0
 4194304	  103845	       0
 8388608	  114832	       0
16777216	  107001	       0
     128	     415	       0
     256	    1115	       0
     512	    2422	       0
    1024	    4831	       0
    2048	    9568	       0
    4096	   18482	       0
    8192	   26399	       0
   16384	   51859	       0
   32768	   97460	       0
   65536	  120126	       0
  131072	  122171	       0
  262144	  122045	       0
  524288	  115365	       0
 1048576	  105742	       0
 2097152	   98778	       0
 4194304	   91056	       0
 8388608	  124245	       0
16777216	  102004	       0
     128	     414	       0
     256	    1119	       0
     512	    2417	       0
    1024	    4873	       0
    2048	    9559	       0
    4096	   18654	       0
    8192	   26450	       0
   16384	   51800	       0
   32768	   97442	       0
   65536	  120153	       0
  131072	  120300	       0
  262144	  118461	       0
  524288	  111464	       0
 1048576	  117957	       0
 2097152	  103778	       0
 4194304	  104828	       0
 8388608	  129498	       0
16777216	  111545	       0
     128	     414	       0
     256	    1117	       0
     512	    2418	       0
    1024	    4864	       0
    2048	    9553	       0
    4096	   18742	       0
    8192	   26403	       0
   16384	   51929	       0
   32768	   97652	       0
   65536	  120790	       0
  131072	  123400	       0
  262144	  122887	       0
  524288	  125122	       0
 1048576	  130261	       0
 2097152	  131872	       0
 4194304	  132716	       0
 8388608	  131816	       0
16777216	  128903	       0
     128	     416	       0
     256	    1118	       0
     512	    2413	       0
    1024	    4865	       0
    2048	    9526	       0
    4096	   18730	       0
    8192	   26399	       0
   16384	   51778	       0
   32768	   97839	       0
   65536	  120151	       0
  131072	  123880	       0
  262144	  125085	       0
  524288	  128021	       0
 1048576	  131252	       0
 2097152	  123909	       0
 4194304	  124239	       0
 8388608	  115292	       0
16777216	  114928	       0
     128	     416	       0
     256	    1119	       0
     512	    2420	       0
    1024	    4883	       0
    2048	    9529	       0
    4096	   18777	       0
    8192	   26560	       0
   16384	   51852	       0
   32768	   97534	       0
   65536	  120261	       0
  131072	  123813	       0
  262144	  123673	       0
  524288	  123616	       0
 1048576	  123016	       0
 2097152	  129345	       0
 4194304	  126014	       0
 8388608	  126415	       0
16777216	  113913	       0
     128	     414	       0
     256	    1119	       0
     512	    2417	       0
    1024	    4878	       0
    2048	    9538	       0
    4096	   18774	       0
    8192	   26402	       0
   16384	   51843	       0
   32768	   97406	       0
   65536	  120801	       0
  131072	  123383	       0
  262144	  123892	       0
  524288	  130384	       0
 1048576	  131072	       0
 2097152	  122410	       0
 4194304	  129348	       0
 8388608	  109753	       0
16777216	  130806	       0
     128	     415	       0
     256	    1117	       0
     512	    2423	       0
    1024	    4840	       0
    2048	    9573	       0
    4096	   18618	       0
    8192	   26394	       0
   16384	   51865	       0
   32768	   97409	       0
