16777216	6.530866	26607616	43778048	52166656	295698432	1769996288	3405774848	4328521728	5536481280	6744440832	8556380160	10401873920	12952010752	13757317120	14294188032	14562623488	14562623488	14562623488
     128	3326.604038	477184	1351680	2637824	4292608	5668864	6914048	8159232	9371648	10682368	13172736	17694720	22151168	34865152	41156608	68681728	143654912	221249536
     256	4463.65514	354304	473088	602112	913408	1384448	2179072	3489792	5341184	7700480	10682368	16908288	24772608	51118080	65273856	96993280	112721920	147849216
     512	4844.713876	346112	448512	552960	782336	1105920	1613824	2441216	3751936	5996544	9502720	16908288	25821184	53215232	65798144	94896128	111673344	135266304
    1024	4831.718443	342016	440320	536576	749568	1044480	1482752	2146304	3293184	5341184	8978432	17432576	27918336	57933824	72876032	105381888	112721920	141557760
    2048	4784.18896	350208	452608	544768	757760	1056768	1515520	2211840	3424256	5472256	9240576	17694720	27918336	56360960	69730304	100139008	113770496	141557760
    4096	4620.740198	354304	456704	552960	765952	1073152	1531904	2244608	3457024	5603328	9502720	18219008	28442624	60555264	77070336	121110528	135266304	168820736
    8192	3299.92675	493568	1286144	2572288	4358144	5799936	7110656	8355840	9502720	10944512	13434880	17694720	22675456	35389440	42729472	59506688	65273856	76021760
   16384	3241.249542	528384	1269760	2572288	4358144	5799936	7176192	8454144	9633792	11075584	13565952	18219008	23199744	37486592	44826624	61603840	68681728	86507520
   32768	3045.645226	651264	1581056	2867200	4685824	6127616	7503872	8716288	10027008	11730944	14221312	19267584	24772608	41156608	50593792	77070336	104333312	183500800
   65536	1876.971714	692224	1171456	2113536	4358144	6258688	8093696	9764864	11862016	15138816	21102592	35913728	58982400	135266304	177209344	235929600	246415360	295698432
  131072	954.466897	757760	962560	1187840	1744896	2768896	4620288	7110656	10027008	13959168	26869760	81264640	170917888	476053504	591396864	700448768	725614592	742391808
  262144	476.739945	1003520	1253376	1499136	2113536	2965504	4423680	6782976	10420224	17170432	42205184	145752064	400556032	1061158912	1216348160	1518338048	1568669696	1585446912
  524288	225.32281	1417216	1712128	2039808	2703360	3719168	5079040	7372800	11730944	23199744	66846720	221249536	692060160	2600468480	3070230528	3439329280	3439329280	3539992576
 1048576	103.264446	2211840	2768896	3293184	4227072	5603328	7503872	10420224	15400960	29491200	135266304	725614592	1904214016	5335154688	5670699008	6140461056	6140461056	6274678784
 2097152	48.231824	3784704	4423680	5406720	6848512	9502720	12255232	17170432	26083328	56360960	329252864	2071986176	4596957184	9328132096	9730785280	9999220736	9999220736	9999220736
 4194304	22.230619	7045120	8355840	10027008	14352384	20316160	29229056	43778048	74973184	492830720	1652555776	5603590144	8657043456	15233712128	15904800768	16575889408	16575889408	16575889408
 8388608	15.166708	15532032	21889024	30015488	48496640	78118912	170917888	350224384	1132462080	2600468480	3707764736	5872025600	9193914368	14562623488	14965276672	15099494400	15099494400	15099494400
16777216	6.225875	28442624	51642368	78118912	221249536	1803550720	3305111552	4596957184	6006243328	7616856064	8925478912	10938744832	12012486656	13623099392	13623099392	13623099392	13623099392	13623099392
     128	3316.622252	493568	1368064	2670592	4292608	5668864	6979584	8159232	9371648	10682368	13041664	17694720	22151168	34865152	41156608	70778880	208666624	227540992
     256	4476.058871	358400	477184	610304	913408	1384448	2179072	3489792	5341184	7766016	10551296	16908288	24772608	50069504	63700992	96993280	111673344	147849216
     512	4834.065641	346112	448512	544768	782336	1105920	1613824	2441216	3751936	5996544	9502720	17170432	26083328	52690944	64749568	94896128	106430464	139460608
    1024	4873.571643	342016	436224	528384	733184	1019904	1449984	2113536	3227648	5275648	8978432	17170432	27394048	57409536	72876032	105381888	111673344	147849216
    2048	4779.688125	354304	452608	544768	749568	1056768	1499136	2211840	3391488	5472256	9371648	17694720	27918336	56885248	70778880	99090432	111673344	152043520
    4096	4663.511532	358400	456704	552960	765952	1056768	1515520	2211840	3424256	5537792	9371648	17956864	28442624	60030976	78118912	119013376	133693440	168820736
    8192	3306.252913	493568	1253376	2605056	4358144	5799936	7110656	8355840	9502720	10944512	13303808	17694720	22675456	35913728	42729472	59506688	64749568	77070336
   16384	3237.535387	536576	1302528	2637824	4423680	5865472	7176192	8454144	9633792	11075584	13565952	18219008	23199744	37486592	44826624	61603840	67633152	86507520
   32768	3045.080739	651264	1597440	2932736	4751360	6193152	7503872	8847360	10158080	11730944	14221312	19005440	24510464	41156608	50593792	77070336	105381888	193986560
   65536	1877.400246	733184	1368064	2899968	5210112	6979584	8585216	10158080	11862016	14876672	20316160	34340864	57933824	135266304	177209344	233832448	244318208	295698432
  131072	939.847623	749568	937984	1105920	1531904	2146304	3162112	5079040	8159232	13828096	29491200	86507520	175112192	480247808	591396864	708837376	725614592	767557632
  262144	462.739626	1003520	1269760	1515520	2023424	2736128	3817472	5668864	9109504	16908288	44826624	154140672	421527552	1069547520	1266679808	1518338048	1535115264	1568669696
  524288	217.703192	1400832	1662976	1974272	2605056	3424256	4751360	6651904	10682368	22413312	61079552	246415360	717225984	2667577344	3070230528	3405774848	3472883712	3539992576
 1048576	115.192535	2277376	2768896	3293184	4358144	5996544	7897088	11075584	16711680	31588352	104333312	534773760	1686110208	5133828096	5469372416	6073352192	6140461056	6341787648
 2097152	50.673052	3719168	4816896	5799936	7634944	10158080	13303808	18481152	26607616	48496640	278921216	1988100096	4043309056	8925478912	9462349824	9999220736	9999220736	9999220736
 4194304	25.592774	6782976	8355840	10813440	15925248	21889024	32112640	45875200	73924608	258998272	1098907648	4211081216	7751073792	15367929856	16575889408	17112760320	17112760320	17112760320
 8388608	15.807926	18743296	28442624	40108032	62128128	88604672	149946368	329252864	968884224	2533359616	3439329280	5804916736	8556380160	14294188032	14965276672	15770583040	15770583040	15770583040
16777216	 6.80822	29229056	36438016	62128128	217055232	1283457024	3170893824	4009754624	5402263552	6945767424	8556380160	9730785280	12683575296	13623099392	14025752576	15502147584	15502147584	15502147584
     128	3318.978151	493568	1351680	2605056	4292608	5668864	6979584	8159232	9371648	10682368	13172736	17694720	22151168	34865152	41156608	69730304	193986560	221249536
     256	4468.065967	350208	464896	585728	880640	1335296	2113536	3391488	5275648	7634944	10551296	16711680	24772608	53215232	66322432	105381888	119013376	162529280
     512	4836.230436	346112	448512	552960	782336	1122304	1613824	2408448	3784704	6062080	9633792	16908288	26083328	52166656	64225280	93847552	105381888	133693440
    1024	4864.051156	342016	440320	528384	741376	1028096	1449984	2146304	3260416	5210112	8978432	17170432	27656192	56885248	70778880	107479040	125304832	147849216
    2048	4776.996635	350208	448512	544768	757760	1056768	1515520	2211840	3391488	5472256	9240576	17694720	28180480	56885248	69730304	102236160	115867648	160432128
