log2_bs,0.0,1.0,5.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,95.0,99.0,99.5,99.9,99.95,99.99,iops
9,0,872,897,921,937,954,970,987,1003,1019,1036,1073,1089,1138,1171,1236,1286,10551,28234.392187
10,0,888,921,937,954,970,987,1003,1011,1028,1056,1073,1105,1138,1155,1204,1236,2146,27919.136029
11,0,872,905,929,946,970,978,995,1011,1028,1056,1073,1105,1155,1171,1204,1236,1482,28033.698877
12,0,897,929,946,970,987,1003,1011,1028,1044,1056,1089,1122,1171,1187,1236,1253,1482,27559.31469
13,0,978,1011,1036,1056,1073,1089,1105,1122,1138,1155,1187,1204,1253,1269,1318,1351,1695,25324.58918
14,0,1056,1105,1122,1138,1171,1187,1204,1220,1236,1253,1286,1318,1368,1400,1449,1466,1662,23309.956335
15,0,1482,1548,1581,1630,1662,1695,1728,1744,1777,1826,1875,1925,2023,2056,2146,2211,3063,16218.192727
16,0,1826,1941,2007,2088,2146,2179,2244,2277,2342,2408,2506,2572,2736,2801,2899,2965,3260,12467.417753
