,9,10,11,12,13,14,15,16
0,3479,7123,13444,60037,110221,171788,183644,190542
1,3854,7303,12797,59513,105473,173938,183370,191863
2,3811,7315,12670,59547,104683,173463,183111,191835
3,3792,7342,12696,59655,104688,172251,182617,190436
4,3441,7152,13355,60330,110378,172398,183800,190912
5,3840,7327,12805,59917,105321,172838,181447,192573
6,3861,7291,12526,59306,105644,172535,181473,191581
7,3462,7118,13239,59837,110556,171677,182781,192930
8,3871,7311,12571,59453,105429,172943,183615,191153
9,3812,7371,12769,59365,105379,172922,182361,190444
10,3896,7335,12760,59591,104807,172986,181973,191712
11,3896,7335,12873,59412,104695,172672,181150,191641
12,3834,7347,12810,59781,105122,173652,181403,188661
13,3521,7146,13430,60436,110743,172877,183462,191291
14,3855,7207,12689,59580,104901,172440,183341,190656
15,3395,7140,13535,60104,110702,172007,183052,191904
16,3560,7138,13440,60425,110309,172350,184580,193186
17,3543,7130,13658,59538,110606,171761,183838,192944
18,3580,7174,13594,59888,110400,173260,183217,190566
19,3520,7032,13353,60225,110099,171179,184901,191780
20,3572,7008,13398,60557,110496,172443,184009,191756
21,3413,7220,13345,60329,109553,171624,184057,192691
22,3543,7128,13564,60393,110627,172626,183409,191276
23,3445,7097,13276,60259,111286,173772,185155,192046
24,3468,7160,13312,59758,110246,171281,182834,192642
25,3819,7306,12570,59700,105402,172987,182968,190950
26,3531,7103,13266,59957,110177,173454,183365,193328
27,3864,7266,12830,59270,105451,172932,181524,192200
28,3528,7150,13490,59396,110486,172085,186691,193593
29,3849,7286,12664,59356,105354,174068,181941,191665
30,3849,7313,12578,59254,104982,173500,182246,189122
31,3855,7292,12505,59998,105099,172274,182973,192648
